Term	Instance	Annotation
activist	Documentaire In ‘I Am Greta’, over klimaatactivist Greta Thunberg, zien we een koppig meisje met scherp brein en laser-achtige focus, maar soms hulpeloos.	neu
activist	Grossman is een activistisch documentairemaker die soms vooral critici van repliek lijkt te dienen.	neg
activist	Weinig jonge mensen roepen zulke sterke reacties op als klimaatactivist Greta Thunberg.	neu
activist	Zoals in februari, als ze jonge klimaatactivisten in Bristol heeft opgebeld:	neu
activist	Thunberg tegenwoordig zoals veel activisten gratis ondersteund door een medewerker van de European Climate Foundation, een lobby-organisatie met grote donoren zoals Ikea en de Postcodeloterij.	pos
activist	Als een ­interviewer van The New Scientist vraagt naar haar persoonlijke toekomstdromen, noemt ze haar activisme een lotsbestemming: ‘Hopelijk is de situatie ooit beter, zodat ik geen klimaatactivist meer hoef te zijn.’	neg
activist	Haar Twitter-bijschrift is âklimaat- en milieuactivist met Aspergerâ.	neu
activist	“Hoe durven jullie” zei de tot tranen bewogen Zweedse klimaatactiviste Greta Thunberg in september 2019 op de klimaattop van de Verenigde Naties in New York, “jullie hebben mijn dromen en mijn jeugd gestolen met holle woorden.	neg
activist	Momenteel studente aan de VUB, werkend voor het Europees Parlement en 200% activiste.	neu
activist	Dat herkennen ook de Belgische activisten die betrokken waren bij de schoolstakingen voor het klimaat.	neu
activist	Dat nadrukkelijk compromisloos op het alarmsignaal blijven hameren voorkomt dat men de urgency verlaat en gaat discussiëren over ‘voorstellen’ die men vaak eist van klimaatactivisten.	neg
activist	Ik ben een klimaatactiviste in hart en nieren en ik blijf voor die zaak vechten maar niemand mag ooit zeggen dat het mijn verantwoordelijkheid is.	pos
activist	Ik hoop dat mensen beseffen dat het niet gaat om de klimaatactivisten maar om onze toekomst en dat iedereen die strijd moet aangaan.	neu
activist	Nee, de jonge Zweedse klimaatactiviste is eigengereid en vaart nadrukkelijk op eigen kompas, blijkt uit I Am Greta, een documentaire over Thunbergs leven en werk.	pos
activist	De afgelopen twaalf maanden reisde de 17-jarige Zweedse klimaatactivist de wereld over om politieke leiders aan te sporen de klimaatcrisis serieus aan te pakken.	neu
