Term	Instance	Annotation
politici	‘Politici zijn overal ongeveer hetzelfde’, vertelt ze daarover in een podcast.	neu
politici	Thunberg werd overal uitgenodigd en Grossman spoorde met haar mee, van de betogingen (zoals die in Brussel waar ze naast Anuna De Wever liep) tot de ontmoetingen met politici en de speeches op conferenties.	neu
politici	Dat heeft volgens Grossman alles te maken met de reactie van de politici.	neu
politici	Heel wat wetenschappers, sociologen en economen hebben ondertussen al oplossingen aangereikt maar daar wordt door politici gewoon niets mee gedaan.	neg
politici	Politici zijn nog altijd bezig met de vraag ‘is het wel zo ernstig?’	neu
politici	Het is niet aan Greta en aan ons om met oplossingen te komen, er zijn oplossingen en de vraag is of politici genoeg politieke moed gaan tonen om ze in praktijk om te zetten.	neu
politici	De invloed en impact van belangengroepen die politici bewerken speelt natuurlijk.	neu
politici	Momenteel zijn wij als klimaatjongeren de enigen die proberen om een draagvlak en een platform te creëren waar politici een beleid aan kunnen verbinden.	neu
politici	Dat komt omdat politici en media het minimaliseren.	neg
politici	Maar het is eigenlijk niet aan ons om daar over te informeren, om politici te zien.	neu
politici	ze toont zich opmerkelijk zelfbewust over haar aandoening, die het volgens haar eenvoudig maakt om door alle ruis en onzin van politici heen te prikken.	neu
politici	"Het grootste gevaar is niet het gebrek aan actie, maar dat politici en CEO's het laten uitschijnen als echte actie, terwijl er bijna niets gebeurt behalve wat slimme boekhoudkundige trucs en creatieve PR."	neg
politici	âHet is vreemd dat kleuters dit probleem wel begrijpen en politici niet.â	neg
politici	De jonge Zweedse trad de afgelopen maanden op tal van betogingen en bijeenkomsten op om politici aan te zetten meer te doen tegen de opwarming van de aarde.	neg
politici	Maar in de aanloop naar de voorstelling hebben klimaatactivisten de EU-politici al de levieten gelezen.	neg
